termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
kræmmerhus;korvaketuppi;=;tanska;;;;;;
ochrea;korvaketuppi;=;norja;;;;;;
ochrea (pl. ochreae);korvaketuppi;=;englanti;;;;;;
ocrea (pl. ocreae);korvaketuppi;=;englanti;;;;;;
stipelslida;korvaketuppi;=;ruotsi;;;;;;
kourasuoninen;kourasuoninen;;suomi;adjektiivi;yhdyssana;;-inen;;
handstrengjótt;kourasuoninen;=;islanti;;;;;;
handæðrað;kourasuoninen;=;fääri;;;;;;
håndstrenget;kourasuoninen;=;tanska;;;;;;
hådnervet;kourasuoninen;=;tanska;;;;;;
handnerva;kourasuoninen;=;norja;;;;;;
palmate venation;kourasuoninen;=;englanti;;;;;;
palmately veined;kourasuoninen;=;englanti;;;;;;
digitate venation;kourasuoninen;=;englanti;;;;;;
digitate veined;kourasuoninen;=;englanti;;;;;;
handnervig;kourasuoninen;=;ruotsi;;;;;;
kourumainen;kourumainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
grooved;kourumainen;=;englanti;;;;;;
rännformigt;kourumainen;=;ruotsi;;;;;;
kukkalehti;kukkalehti;;suomi;substantiivi;yhdyssana;;;;
floral leaf;kukkalehti;=;englanti;;;;;;
blomblad;kukkalehti;=;ruotsi;;;;;;
kukkapohjus;kukkapohjus;;suomi;substantiivi;yhdyssana;;;;
blómbotn;kukkapohjus;=;islanti;;;;;;
blómubotnur;kukkapohjus;=;fääri;;;;;;
blomsterbund;kukkapohjus;=;tanska;;;;;;
blomsterbunn;kukkapohjus;=;norja;;;;;;
receptacle;kukkapohjus;<;englanti;;;;;;
blombotten;kukkapohjus;=;ruotsi;;;;;;
kynsi;kynsi;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
nögl;kynsi;=;islanti;;;;;;
naglur;kynsi;=;fääri;;;;;;
negl;kynsi;=;tanska;;;;;;
negl;kynsi;=;norja;;;;;;
claw;kynsi;=;englanti;;;;;;
kronbladsskaft;kynsi;=;ruotsi;;;;;;
skaft;kynsi;=;ruotsi;;;;;;
lanttopäinen;lanttopäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
lanttokärkinen;lanttopäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
grunnsýldur;lanttopäinen;=;islanti;;;;;;
sýldur;lanttopäinen;=;islanti;;;;;;
sýldur;lanttopäinen;=;fääri;;;;;;
grunnsýldur;lanttopäinen;=;fääri;;;;;;
indtrykt;lanttopäinen;=;tanska;;;;;;
udrandet;lanttopäinen;=;tanska;;;;;;
grunt uttandet;lanttopäinen;=;norja;;;;;;
utrandet;lanttopäinen;=;norja;;;;;;
lovikärkinen;lanttopäinen;;suomi;adjektiivi;yhdistämätön;2-tavuinen O-loppuinen;;;
lantto;lanttopäinen;;suomi;adjektiivi;yhdistämätön;2-tavuinen O-loppuinen;;;
retuse;lanttopäinen;=;englanti;;;;;;
notched;lanttopäinen;=;englanti;;;;;;
emarginate;lanttopäinen;=;englanti;;;;;;
grunt urnupen;lanttopäinen;=;ruotsi;;;;;;
urnupen;lanttopäinen;=;ruotsi;;;;;;
lehdykkä;lehdykkä;;suomi;substantiivi;yhdyssana;;;;
smáblað;lehdykkä;=;islanti;;;;;;
bleðill;lehdykkä;=;islanti;;;;;;
smáblað;lehdykkä;=;fääri;;;;;;
småblad;lehdykkä;=;tanska;;;;;;
1 småblad;lehdykkä;>;norja;;;;;;
2 finne;lehdykkä;>;norja;;;;;;
leaflet;lehdykkä;>;englanti;;;;;;
pinna (pl. pinnae);lehdykkä;>;englanti;;;;;;
småblad;lehdykkä;=;ruotsi;;;;;;
småblad (av första ordningen);lehdykkä;=;ruotsi;;;;;;
lehti;lehti;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;phyllon, folium
laufblað;lehti;=;islanti;;;;;;
blað;lehti;=;islanti;;;;;;
leyvblað;lehti;=;fääri;;;;;;
blað;lehti;=;fääri;;;;;;
blad;lehti;=;tanska;;;;;;
blad;lehti;=;norja;;;;;;
leaf;lehti;=;englanti;;;;;;
blad;lehti;=;ruotsi;;;;;;
lehtiasento;lehtiasento;;suomi;substantiivi;yhdyssana;;;;
fyllotaksia;lehtiasento;;suomi;substantiivi;yhdyssana;;;;
leaf arrangement;lehtiasento;=;englanti;;;;;;
phyllotaxis;lehtiasento;=;englanti;;;;;;
phyllotaxy;lehtiasento;=;englanti;;;;;;
bladställning;lehtiasento;=;ruotsi;;;;;;
lehtikanta;lehtikanta;;suomi;substantiivi;yhdyssana;;;;
kanta;lehtikanta;;suomi;substantiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
lehden kanta;lehtikanta;;suomi;substantiivi;sanaliitto;;;;
fyllopodium;lehtikanta;;suomi;substantiivi;yhdyssana;;;;
leaf-base;lehtikanta;=;englanti;;;;;;
leaf base;lehtikanta;=;englanti;;;;;;
phyllopod (pl. phyllopods; phylopodia);lehtikanta;=;englanti;;;;;;
phyllopodium;lehtikanta;=;englanti;;;;;;
bladfot;lehtikanta;=;ruotsi;;;;;;
lehtilaita;lehtilaita;;suomi;substantiivi;yhdyssana;;;;
leaf margin;lehtilaita;=;englanti;;;;;;
bladkant;lehtilaita;=;ruotsi;;;;;;
bladkanten;lehtilaita;=;ruotsi;;;;;;
lapa;lapa;;suomi;substantiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
